Game,Name,Variant,Class,Gender,HM Bonus,SecondClass,ThirdClass,char_base_stats_Lv,char_base_stats_HP,char_base_stats_S/M,char_base_stats_Skl,char_base_stats_Spd,char_base_stats_Lck,char_base_stats_Def,char_base_stats_Res,char_base_stats_Con,char_base_stats_Mov,char_growth_rates_HP,char_growth_rates_S/M,char_growth_rates_Skl,char_growth_rates_Spd,char_growth_rates_Lck,char_growth_rates_Def,char_growth_rates_Res,second_class_promo_gains_HP,second_class_promo_gains_S/M,second_class_promo_gains_Skl,second_class_promo_gains_Spd,second_class_promo_gains_Def,second_class_promo_gains_Res,second_class_promo_gains_Con,second_class_promo_gains_Mov,third_class_promo_gains_HP,third_class_promo_gains_S/M,third_class_promo_gains_Skl,third_class_promo_gains_Spd,third_class_promo_gains_Def,third_class_promo_gains_Res,third_class_promo_gains_Con,third_class_promo_gains_Mov,class_growth_rates_HP,class_growth_rates_S/M,class_growth_rates_Skl,class_growth_rates_Spd,class_growth_rates_Def,class_growth_rates_Res,class_growth_rates_Lck,class_max_stats_S/M,class_max_stats_Skl,class_max_stats_Spd,class_max_stats_Def,class_max_stats_Res,class_max_stats_Con,class_max_stats_HP,class_max_stats_Lck,class_max_stats_Mov,second_class_growth_rates_HP,second_class_growth_rates_S/M,second_class_growth_rates_Skl,second_class_growth_rates_Spd,second_class_growth_rates_Def,second_class_growth_rates_Res,second_class_growth_rates_Lck,second_class_max_stats_S/M,second_class_max_stats_Skl,second_class_max_stats_Spd,second_class_max_stats_Def,second_class_max_stats_Res,second_class_max_stats_Con,second_class_max_stats_HP,second_class_max_stats_Lck,second_class_max_stats_Mov,third_class_growth_rates_HP,third_class_growth_rates_S/M,third_class_growth_rates_Skl,third_class_growth_rates_Spd,third_class_growth_rates_Def,third_class_growth_rates_Res,third_class_growth_rates_Lck,third_class_max_stats_S/M,third_class_max_stats_Skl,third_class_max_stats_Spd,third_class_max_stats_Def,third_class_max_stats_Res,third_class_max_stats_Con,third_class_max_stats_HP,third_class_max_stats_Lck,third_class_max_stats_Mov,char_growth_rates_adjusted_HP,char_growth_rates_adjusted_S/M,char_growth_rates_adjusted_Skl,char_growth_rates_adjusted_Spd,char_growth_rates_adjusted_Lck,char_growth_rates_adjusted_Def,char_growth_rates_adjusted_Res
FE6,Roy,All,Lord,M,0,Master Lord,N/A,1.0,18.0,5.0,5.0,7.0,7.0,5.0,0.0,6.0,5.0,80.0,40.0,50.0,40.0,60.0,25.0,30.0,4.0,2.0,3.0,2.0,2.0,5.0,2.0,1.0,,,,,,,,,90.0,45.0,40.0,45.0,15.0,12.0,40.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,60.0,35.0,30.0,30.0,35.0,10.0,15.0,25.0,25.0,25.0,25.0,25.0,25.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,80.60937228800002,40.30468614400001,50.380857680000005,40.30468614400001,60.45702921599999,25.190428840000003,30.228514607999994
FE6,Marcus,All,Paladin,M,0,N/A,N/A,1.0,32.0,9.0,14.0,11.0,10.0,9.0,8.0,11.0,8.0,60.0,25.0,20.0,25.0,20.0,15.0,20.0,,,,,,,,,,,,,,,,,70.0,25.0,30.0,18.0,12.0,17.0,25.0,25.0,28.0,25.0,25.0,25.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.450499584,27.687708160000003,22.150166528000003,27.687708160000003,22.150166528000003,16.612624896,22.150166528000003
FE6,Alen,All,Cavalier,M,0,Paladin,N/A,1.0,21.0,7.0,4.0,6.0,3.0,6.0,0.0,9.0,7.0,85.0,45.0,40.0,45.0,40.0,25.0,10.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,,,,,,,,,75.0,35.0,40.0,28.0,15.0,12.0,30.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,70.0,25.0,30.0,18.0,12.0,17.0,25.0,25.0,28.0,25.0,25.0,25.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,85.94755453676383,45.50164651946321,40.44590801730063,45.50164651946321,40.44590801730063,25.278692510812895,10.111477004325158
FE6,Lance,All,Cavalier,M,0,Paladin,N/A,1.0,20.0,5.0,6.0,8.0,2.0,6.0,0.0,9.0,7.0,80.0,40.0,45.0,50.0,35.0,20.0,15.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,,,,,,,,,75.0,35.0,40.0,28.0,15.0,12.0,30.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,70.0,25.0,30.0,18.0,12.0,17.0,25.0,25.0,28.0,25.0,25.0,25.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,81.18390011168,40.59195005584,45.665943812820004,50.7399375698,35.51795629885999,20.29597502792,15.221981270939999
FE6,Wolt,All,Archer,M,0,Sniper,N/A,1.0,18.0,4.0,4.0,5.0,2.0,4.0,0.0,7.0,5.0,80.0,40.0,50.0,40.0,40.0,20.0,10.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,70.0,35.0,40.0,32.0,15.0,10.0,35.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,65.0,30.0,30.0,20.0,15.0,15.0,30.0,24.0,30.0,29.0,22.0,23.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,81.26350917632001,40.63175458816001,50.7896932352,40.63175458816001,40.63175458816001,20.315877294080003,10.157938647040002
FE6,Bors,All,Knight,M,0,General,N/A,1.0,20.0,7.0,4.0,3.0,4.0,11.0,0.0,14.0,4.0,90.0,30.0,30.0,40.0,50.0,35.0,10.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,1.0,,,,,,,,,80.0,40.0,35.0,15.0,28.0,5.0,25.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,75.0,30.0,25.0,10.0,23.0,15.0,20.0,27.0,25.0,21.0,30.0,25.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,90.78061062602251,30.260203542007496,30.260203542007496,40.34693805601,50.4336725700125,35.303570799008746,10.0867345140025
FE6,Merlinus,All,Transporter,M,0,N/A,N/A,1.0,15.0,0.0,3.0,3.0,10.0,3.0,0.0,25.0,5.0,100.0,0.0,50.0,50.0,100.0,20.0,5.0,,,,,,,,,,,,,,,,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,25.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,50.0,50.0,100.0,20.0,5.0
FE6,Elen,All,Priest,F,0,Bishop,N/A,2.0,16.0,1.0,6.0,8.0,8.0,0.0,6.0,4.0,5.0,45.0,50.0,30.0,20.0,70.0,5.0,60.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,,,,,,,,,50.0,30.0,35.0,32.0,8.0,50.0,45.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,45.0,35.0,25.0,22.0,8.0,40.0,40.0,26.0,25.0,26.0,21.0,30.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,45.803889591120004,50.893210656799994,30.535926394079997,20.35728426272,71.25049491952,5.08932106568,61.071852788159994
FE6,Dieck,All,Mercenary,M,0,Hero,N/A,5.0,26.0,9.0,12.0,10.0,5.0,6.0,1.0,13.0,5.0,90.0,40.0,40.0,30.0,35.0,20.0,15.0,4.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,,,,,,,,,80.0,40.0,40.0,32.0,18.0,15.0,30.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,75.0,30.0,30.0,20.0,20.0,10.0,25.0,25.0,30.0,26.0,25.0,22.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,91.0136217559104,40.4504985581824,40.4504985581824,30.3378739186368,35.394186238409596,20.2252492790912,15.1689369593184
FE6,Wade,All,Fighter,M,0,Warrior,N/A,2.0,28.0,8.0,3.0,5.0,4.0,3.0,0.0,13.0,5.0,75.0,50.0,45.0,20.0,45.0,30.0,5.0,8.0,3.0,3.0,2.0,3.0,0.0,2.0,1.0,,,,,,,,,85.0,55.0,35.0,30.0,15.0,10.0,15.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,80.0,45.0,25.0,20.0,16.0,7.0,15.0,30.0,26.0,24.0,28.0,20.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,76.53906851355468,51.02604567570312,45.92344110813281,20.41041827028125,45.92344110813281,30.615627405421876,5.102604567570313
